surface,rung,capability,n_genes,n_rows,pearson_r,pearson_r_ci_lo,pearson_r_ci_hi,cosine,cosine_ci_lo,cosine_ci_hi,topbase_acc,topbase_acc_ci_lo,topbase_acc_ci_hi,auroc,auroc_ci_lo,auroc_ci_hi,macroF1,macroF1_ci_lo,macroF1_ci_hi,covR,covR_ci_lo,covR_ci_hi,mae,mae_ci_lo,mae_ci_hi,rmse,rmse_ci_lo,rmse_ci_hi,jsd_bits,jsd_bits_ci_lo,jsd_bits_ci_hi,kl_bits,kl_bits_ci_lo,kl_bits_ci_hi,ic_mae,ic_mae_ci_lo,ic_mae_ci_hi,coverage,coverage_ci_lo,coverage_ci_hi,gate_len_mae,gate_len_mae_ci_lo,gate_len_mae_ci_hi,gate_len_bias,gate_len_bias_ci_lo,gate_len_bias_ci_hi
test,random_uniform,floor,51,291,0.0,0.0,0.0,0.6087,0.5987,0.6187,0.29,0.2536,0.3289,0.5,0.5,0.5,0.1079,0.0972,0.1189,0.0,0.0,0.0,0.2913,0.2843,0.2982,0.3486,0.3415,0.3554,0.3462,0.3329,0.3592,1.2966,1.2473,1.3453,1.2966,1.2473,1.3453,0.9227,0.884,0.9544,3.1176,2.5294,3.7255,0.8824,-0.1961,1.8044
test,random_train_pwm,+ looks like a PWM,51,291,0.4463,0.4137,0.4753,0.6447,0.6349,0.6688,0.5685,0.5385,0.5873,0.7214,0.7062,0.7502,0.4454,0.4153,0.4694,0.2901,0.2728,0.3348,0.2374,0.227,0.2444,0.3667,0.3495,0.3718,0.3379,0.3122,0.3444,3.6238,2.7329,3.4488,0.7065,0.6712,0.7786,0.7384,0.6967,0.7806,3.1176,2.5294,3.7255,0.8824,-0.1961,1.8044
test,B0_global,+ average motif,51,291,0.4836,0.4462,0.5187,0.6415,0.6292,0.6542,0.6389,0.5976,0.6781,0.777,0.7496,0.8034,0.456,0.4235,0.487,0.3226,0.2958,0.3484,0.2832,0.2741,0.2921,0.3382,0.3278,0.3479,0.3333,0.3159,0.3507,1.2275,1.164,1.2901,1.3075,1.2398,1.3752,0.7126,0.6605,0.7626,3.1176,2.5294,3.7255,0.8824,-0.1961,1.8044
test,B0_family,+ family identity,51,291,0.5836,0.5415,0.6229,0.7556,0.7302,0.7786,0.6574,0.6195,0.6936,0.8162,0.7916,0.8392,0.541,0.5034,0.5749,0.5185,0.4629,0.5699,0.2069,0.189,0.2258,0.277,0.2614,0.2929,0.225,0.2033,0.2486,0.9247,0.8493,1.0028,0.8467,0.7463,0.9622,0.8532,0.799,0.9028,3.1176,2.5294,3.7255,0.8824,-0.1961,1.8044
test,B1_nearest_pwm,+ homology lookup,51,291,0.5191,0.4709,0.566,0.6988,0.6689,0.7287,0.6193,0.5795,0.6577,0.7791,0.7489,0.8093,0.5033,0.4667,0.5404,0.3835,0.3333,0.4351,0.2046,0.1885,0.2202,0.3272,0.3054,0.3481,0.2794,0.2521,0.3073,2.861,2.3661,3.5086,0.6151,0.5621,0.6707,0.8282,0.7735,0.8772,3.1176,2.5294,3.7255,0.8824,-0.1961,1.8044
test,v24_seed42,+ learned seq to PWM,51,291,0.6295,0.5917,0.6658,0.7847,0.7627,0.8076,0.6896,0.6597,0.721,0.8376,0.8132,0.8611,0.5567,0.5263,0.5889,0.5305,0.4836,0.5751,0.1607,0.1476,0.1732,0.2642,0.2465,0.281,0.1911,0.1711,0.2104,1.0471,0.93,1.1649,0.5163,0.4732,0.5632,0.8415,0.791,0.8859,3.4771,2.8872,4.0851,0.9365,-0.246,1.981
test,v24_ens5,+ seed averaging,51,291,0.6643,0.6272,0.7,0.8069,0.7881,0.8265,0.7301,0.7015,0.7587,0.8375,0.8129,0.8607,0.5907,0.5594,0.6216,0.5602,0.508,0.61,0.1818,0.1717,0.1915,0.2526,0.2398,0.2643,0.191,0.1759,0.2058,0.7858,0.7181,0.8495,0.8049,0.756,0.8522,0.835,0.7808,0.8827,3.4771,2.8872,4.0851,0.9365,-0.246,1.981
excluded,random_uniform,floor,44,269,0.0,0.0,0.0,0.6036,0.5928,0.6146,0.2814,0.2403,0.3232,0.5,0.5,0.5,0.1025,0.089,0.1162,0.0,0.0,0.0,0.2953,0.2877,0.3029,0.3508,0.343,0.3586,0.3521,0.3372,0.3666,1.32,1.2658,1.3718,1.32,1.2658,1.3718,0.8754,0.8417,0.9069,3.1275,2.7273,3.5553,-0.6277,-1.4131,0.1804
excluded,random_train_pwm,+ looks like a PWM,44,269,0.4426,0.4016,0.4618,0.6457,0.6189,0.6601,0.5635,0.5263,0.5826,0.723,0.7008,0.7354,0.4228,0.3799,0.4444,0.2826,0.242,0.2887,0.2363,0.2269,0.2456,0.3638,0.3535,0.3821,0.3342,0.3192,0.357,3.4134,2.9199,3.5979,0.7103,0.6495,0.7336,0.6923,0.6256,0.7078,3.1275,2.7273,3.5553,-0.6277,-1.4131,0.1804
excluded,B0_global,+ average motif,44,269,0.4405,0.4089,0.4746,0.6312,0.6212,0.6418,0.5725,0.5344,0.6089,0.7576,0.7387,0.7781,0.399,0.3673,0.4319,0.323,0.2992,0.3488,0.2893,0.2816,0.2967,0.3437,0.3356,0.3514,0.3417,0.3266,0.3559,1.2638,1.2093,1.3147,1.3393,1.282,1.3936,0.7176,0.6747,0.7578,3.1275,2.7273,3.5553,-0.6277,-1.4131,0.1804
