surface,rung,gene,pearson_r,cosine,topbase_acc,auroc,macroF1,mae,rmse,jsd_bits,kl_bits,ic_mae,covR,coverage,gate_len_mae,gate_len_bias
test,random_uniform,CLOCK,0.0,0.56573,0.22222,0.5,0.09091,0.32669,0.39204,0.44615,1.63724,1.63724,0.0,1.0,1.0,1.0
test,random_uniform,ELF1,0.0,0.64617,0.27273,0.5,0.10714,0.26433,0.32981,0.31082,1.15881,1.15881,0.0,1.0,3.0,3.0
test,random_uniform,ELF2,0.0,0.61732,0.2,0.5,0.08333,0.28324,0.34639,0.33694,1.26457,1.26457,0.0,1.0,4.0,4.0
test,random_uniform,ELF3,0.0,0.60143,0.45455,0.5,0.15625,0.2963,0.35701,0.36467,1.35558,1.35557,0.0,1.0,3.0,3.0
test,random_uniform,ELK1,0.0,0.55519,0.33333,0.5,0.125,0.32932,0.38788,0.41795,1.56728,1.56728,0.0,1.0,5.0,5.0
test,random_uniform,ELK4,0.0,0.59532,0.25,0.5,0.1,0.30111,0.36049,0.37263,1.38449,1.38449,0.0,1.0,6.0,6.0
test,random_uniform,ERF,0.0,0.59797,0.42857,0.5,0.15,0.30013,0.3541,0.34742,1.31494,1.31494,0.0,1.0,7.0,7.0
test,random_uniform,ERG,0.0,0.61459,0.3,0.5,0.11538,0.28325,0.34298,0.34113,1.2672,1.2672,0.0,1.0,4.0,4.0
test,random_uniform,ETS1,0.0,0.58757,0.33333,0.5,0.125,0.30096,0.35741,0.36274,1.35802,1.35802,0.0,1.0,5.0,5.0
test,random_uniform,ETS2,0.0,0.65363,0.3,0.5,0.11538,0.26543,0.31967,0.29256,1.09659,1.09659,0.0,1.0,4.0,4.0
test,random_uniform,ETV1,0.0,0.58961,0.33333,0.5,0.125,0.30038,0.36014,0.37149,1.38221,1.38221,0.0,1.0,5.0,5.0
test,random_uniform,ETV4,0.0,0.60621,0.375,0.5,0.13636,0.294,0.34908,0.35751,1.32233,1.32233,0.0,1.0,6.0,6.0
test,random_uniform,ETV5,0.0,0.62427,0.33333,0.5,0.125,0.2812,0.34158,0.3407,1.26118,1.26118,0.0,1.0,5.0,5.0
test,random_uniform,ETV6,0.0,0.63316,0.2,0.5,0.08333,0.27382,0.33253,0.30506,1.15793,1.15793,0.0,1.0,4.0,4.0
test,random_uniform,FEV,0.0,0.56828,0.33333,0.5,0.125,0.31755,0.37772,0.41045,1.51987,1.51987,0.0,1.0,5.0,5.0
test,random_uniform,FLI1,0.0,0.62057,0.3,0.5,0.11538,0.28122,0.33873,0.33453,1.24133,1.24133,0.0,1.0,4.0,4.0
test,random_uniform,FOXA1,0.0,0.64831,0.11111,0.5,0.05,0.26029,0.31471,0.28158,1.06357,1.06357,0.0,0.9,1.0,-1.0
test,random_uniform,FOXA2,0.0,0.61311,0.22222,0.5,0.09091,0.28939,0.34397,0.36257,1.31927,1.31927,0.0,0.9,1.0,-1.0
test,random_uniform,FOXA3,0.0,0.61971,0.11111,0.5,0.05,0.28406,0.34163,0.35262,1.28863,1.28863,0.0,0.9,1.0,-1.0
test,random_uniform,FOXC2,0.0,0.5951,0.11111,0.5,0.05,0.30509,0.36102,0.38328,1.4113,1.4113,0.0,0.75,3.0,-3.0
test,random_uniform,FOXD3,0.0,0.69449,0.66667,0.5,0.2,0.23799,0.29154,0.26805,0.97176,0.97176,0.0,0.5,9.0,-9.0
