gene,family,r
SEBOX,Homeodomain,1.0
ZXDB,C2H2_long,1.0
OTX1,Homeodomain,1.0
HESX1,Homeodomain,1.0
HIC2,C2H2_medium,1.0
ALX3,Homeodomain,1.0
PITX2,Homeodomain,0.999
PRRX1,Homeodomain,0.999
MEIS3,Homeodomain,0.999
RAXL1,Homeodomain,0.999
ZNF275,C2H2_long,0.999
CPXCR1,C2H2_short,0.999
PKNOX2,Homeodomain,0.998
PHOX2B,Homeodomain,0.998
MEIS1,Homeodomain,0.998
FOXK1,Forkhead,0.997
RAX2,Homeodomain,0.997
PHOX2A,Homeodomain,0.997
DMRTA2,Other,0.996
ZNF783,C2H2_medium,0.996
PITX3,Homeodomain,0.996
SOX18,Other,0.996
PUT3,Other,0.995
ZNF323,C2H2_medium,0.992
ZNF471,C2H2_long,0.992
RAX,Homeodomain,0.992
CART1,Homeodomain,0.99
FOXH1,Forkhead,0.989
ZNF746,C2H2_medium,0.988
ZNF416,C2H2_long,0.986
GSC2,Homeodomain,0.985
ZSCAN16,C2H2_medium,0.985
RREB1,C2H2_long,0.985
AL,Homeodomain,0.983
ZNF213,C2H2_medium,0.983
ZNF793,C2H2_medium,0.98
ALX1,Homeodomain,0.979
PDX1,Other,0.975
ZSCAN29,C2H2_medium,0.973
USF3,bHLH,0.971
ESR2,Nuclear_Receptor,0.966
DRGX,Homeodomain,0.966
PKNOX1,Homeodomain,0.965
ZSCAN5C,C2H2_medium,0.964
ZNF22,C2H2_medium,0.946
ZNF865,C2H2_long,0.944
LHX8,Homeodomain,0.941
TFE3,bHLH,0.94
NFIX,Other,0.94
ZSCAN21,C2H2_long,0.936
KLF15,C2H2_short,0.93
TFAP2E,Other,0.928
CREB3L2,bZIP,0.923
DUXA,Homeodomain,0.915
LHX6,Homeodomain,0.91
ZSCAN9,C2H2_medium,0.909
TPRX1,Homeodomain,0.904
SP5,C2H2_short,0.904
CRX,Homeodomain,0.902
SMAD4,Other,0.889
HMX3,Other,0.887
ZNF614,C2H2_long,0.886
FOXR2,Forkhead,0.885
TFEB,bHLH,0.878
VEZF1,C2H2_medium,0.878
CREB3L4,bZIP,0.878
TFAP2C,Other,0.875
ZIK1,C2H2_long,0.875
MEIS2,Homeodomain,0.873
CREB3,bZIP,0.871
ZNF548,C2H2_long,0.871
ZSCAN31,C2H2_medium,0.864
ZNF384,C2H2_long,0.864
NR1H4,Nuclear_Receptor,0.862
MATALPHA2,Homeodomain,0.855
ZSCAN25,C2H2_long,0.854
MITF,bHLH,0.852
FOXQ1,Forkhead,0.85
ZNF584,C2H2_long,0.848
JUN_JUNB,bZIP,0.843
HIC1,C2H2_medium,0.838
ELF5,ETS,0.835
EHF,ETS,0.835
IKZF3,C2H2_medium,0.834
ZNF551,C2H2_long,0.828
CREBZF,bZIP,0.827
NR2C2,Nuclear_Receptor,0.824
ZNF251,C2H2_long,0.812
USF2,bHLH,0.811
ZNF549,C2H2_long,0.802
TBX18,Other,0.798
ZBTB48,C2H2_long,0.797
MYSM1,Other,0.796
GRHL1,Other,0.794
ZBTB42,C2H2_medium,0.788
SP8,C2H2_short,0.785
ZNF821,C2H2_short,0.781
CREB3L1,bZIP,0.773
CREB1,bZIP,0.77
THAP11,Other,0.77
ZSCAN4,C2H2_medium,0.758
TBX15,Other,0.757
NFIB,Other,0.745
NR2C1,Nuclear_Receptor,0.744
SP9,C2H2_short,0.737
ZNF530,C2H2_long,0.726
NFIC,Other,0.722
ESR1,Nuclear_Receptor,0.714
TBP,Other,0.711
NR1H2::RXRA,Nuclear_Receptor,0.708
IRF5,Other,0.693
ZNF696,C2H2_long,0.691
SREBF1,bHLH,0.691
ZNF773,C2H2_long,0.682
NFYB,Other,0.681
JUN,bZIP,0.671
ZNF671,C2H2_long,0.665
ZNF211,C2H2_long,0.665
ZNF3,C2H2_long,0.664
USF1,bHLH,0.662
ZNF768,C2H2_long,0.66
ZNF154,C2H2_long,0.658
ZKSCAN4,C2H2_long,0.657
ZXDA,C2H2_long,0.651
TCF7,Other,0.651
ZNF282,C2H2_medium,0.648
PPARG::RXRA,Nuclear_Receptor,0.641
ARF1,Other,0.62
ZNF274,C2H2_medium,0.619
TBX6,Other,0.601
NFIA,Other,0.599
ZNF566,C2H2_long,0.598
DMRT2,Other,0.585
ZBTB2,C2H2_medium,0.583
GMEB2,Other,0.58
ZNF792,C2H2_long,0.579
PRDM14,C2H2_medium,0.574
ZNF75D,C2H2_medium,0.572
ATF6B,bZIP,0.569
GRHL3,Other,0.564
TBX20,Other,0.558
ZNF419,C2H2_long,0.556
ZNF75A,C2H2_medium,0.556
ZNF510,C2H2_long,0.55
GRHL2,Other,0.549
ZBED5,Other,0.548
TFEC,bHLH,0.548
RXRA,Nuclear_Receptor,0.546
MBD1,Other,0.543
PATZ1,C2H2_long,0.542
OTX2,Homeodomain,0.54
ZNF683,C2H2_medium,0.532
FOXR1,Forkhead,0.53
ZSCAN23,C2H2_medium,0.52
ZNF716,C2H2_long,0.518
TGIF2LX,Homeodomain,0.505
SREBF2,bHLH,0.503
SOX13,Other,0.502
CENPB,Other,0.49
ZNF174,C2H2_short,0.481
ZNF513,C2H2_long,0.469
ZGLP1,Other,0.461
ZNF445,C2H2_long,0.459
CDC5L,Other,0.457
ELF3,ETS,0.445
GCN4,bZIP,0.44
TFAP2A,Other,0.438
IRF6,Other,0.436
ZNF620,C2H2_long,0.433
IKZF1,C2H2_medium,0.433
TGIF1,Homeodomain,0.429
ZXDC,C2H2_long,0.422
ZNF442,C2H2_long,0.417
REST,C2H2_long,0.408
SMAD1,Other,0.386
CREB3L3,bZIP,0.368
TGIF2,Homeodomain,0.366
ZNF772,C2H2_long,0.361
TFAP2B,Other,0.357
ZNF532,C2H2_long,0.351
SP7,C2H2_short,0.343
TGIF2LY,Homeodomain,0.337
MAZ,C2H2_medium,0.334
ZNF684,C2H2_long,0.331
SPT15,Other,0.313
ZNF358,C2H2_long,0.306
ZNF134,C2H2_long,0.29
ZNF32,C2H2_long,0.28
ZNF789,C2H2_long,0.259
ZNF322,C2H2_long,0.242
PAX8,Other,0.218
ZIM3,C2H2_long,0.211
SLC2A4RG,C2H2_short,0.038
