target	off_target	rank	pred_pwm_corr
LHX5	MNX1	1	0.995
LHX5	NKX6-2	2	0.993
LHX5	LMX1A	3	0.992
LHX5	ESX1	4	0.992
LHX5	al	5	0.991
LHX5	en	6	0.991
LHX5	PHOX2B	7	0.991
LHX5	PHOX2A	8	0.991
MYOG	Myod1	1	0.996
MYOG	MYOD1	2	0.995
MYOG	TCF4	3	0.994
MYOG	MYF6	4	0.985
MYOG	ATOH1	5	0.935
MYOG	TWIST2	6	0.922
MYOG	ATOH7	7	0.918
MYOG	TAL1::TCF3	8	0.896
CREB3L2	CREB3L1	1	0.999
CREB3L2	CREB3L4	2	0.997
CREB3L2	ATF6B	3	0.995
CREB3L2	CREB3	4	0.983
CREB3L2	CREB3L3	5	0.826
CREB3L2	XBP1	6	0.816
CREB3L2	CREBZF	7	0.771
CREB3L2	JUN	8	0.718
ELK1	ETV1	1	0.997
ELK1	ETV5	2	0.994
ELK1	GABPA	3	0.991
ELK1	ELF1	4	0.99
ELK1	FEV	5	0.99
ELK1	ELK4	6	0.988
ELK1	ERF	7	0.985
ELK1	ERG	8	0.979
