target	family	off_targets	target_self_corr	pred_off_corr_mean	pred_off_corr_max	exp_off_corr_mean	exp_off_corr_max	predicted_separability	exp_oracle_margin	tfscope_transfer_margin	case
MATALPHA2	Homeodomain	POU1F1;IRX3;MEIS1;NANOG;IRX2;POU2F1::SOX2;HNF1B;vnd	0.881	0.866	0.968	0.734	0.889	3.31	2.876	1.518	hard
PBX1	Homeodomain	HOXC10;PAX6;exd;PBX2;Ubx;POU3F1;HNF1B;HNF1A	0.375	0.901	0.941	0.615	0.877	1.637	3.417	-1.623	moderate
Ubx	Homeodomain	HOXB5;al;eve;HOXB4;EMX1;EMX2;NKX6-2;Antp	0.997	0.989	0.995	0.962	0.988	1.09	0.921	0.888	hard
POU2F1::SOX2	Homeodomain	POU1F1;NANOG;MEIS1;EMX2;MATALPHA2;POU2F1;EMX1;ESX1	0.843	0.861	0.966	0.849	0.978	1.777	1.527	-0.35	hard
POU2F1	Homeodomain	MEIS2;POU5F1;Pou5f1::Sox2;POU3F1;PHOX2B;PHOX2A;DUX4;ESX1	0.997	0.912	0.981	0.868	0.985	3.243	3.088	2.69	hard
en	Homeodomain	DLX6;DLX5;LHX5;ISX;ESX1;MSX1;NKX6-2;GBX1	0.998	0.99	0.997	0.988	0.998	-0.053	0.45	0.047	hard
HNF1A	Homeodomain	HNF1B;eve;HOXB4;Antp;GSX2;ESX1;MNX1;ALX3	0.991	0.951	0.98	0.909	0.997	1.236	0.394	-0.042	hard
eve	Homeodomain	HOXB4;Antp;Ubx;HOXB5;DLX6;GSX2;MEOX1;HNF1B	0.995	0.977	0.998	0.973	0.997	0.649	0.738	0.615	hard
vnd	Homeodomain	TGIF1;PKNOX1;NKX2-5;PBX2;MATALPHA2;PAX6;exd;PBX1	0.996	0.762	0.882	0.662	0.768	3.332	3.681	2.93	moderate
HOXA9	Homeodomain	MEIS2;Abd-B;MEIS1;CDX2;POU3F3;HOXC10;POU3F4;CUX2	0.995	0.948	0.994	0.885	0.992	2.196	1.063	-0.363	hard
bcd	Homeodomain	PITX2;DMBX1;HNF1A;HNF1B;ALX4;MEIS1;eve;POU2F1	0.998	0.885	0.999	0.857	0.998	0.772	1.59	-0.252	hard
HNF1B	Homeodomain	HNF1A;eve;Antp;HOXB4;Scr;DMBX1;POU6F1;Ubx	0.994	0.948	0.98	0.942	0.997	1.172	0.797	0.18	hard
HOXA13	Homeodomain	HOXB13;NANOG;Abd-B;CDX1;CDX2;GBX1;MSX1;DUX4	0.98	0.844	0.982	0.775	0.952	1.683	1.458	0.09	hard
PITX2	Homeodomain	bcd;DMBX1;HNF1A;HNF1B;ALX4;MEIS1;eve;POU2F1	0.999	0.888	0.999	0.856	0.998	0.726	0.78	0.343	hard
GBX1	Homeodomain	MSX1;DLX5;DUX4;DLX6;en;CUX2;ESX1;NKX6-2	0.98	0.98	0.999	0.92	0.998	0.342	0.366	-0.479	hard
Scr	Homeodomain	POU6F1;Antp;eve;HOXB4;HOXC10;HNF1B;NKX6-3;HNF1A	0.997	0.953	0.994	0.913	0.99	1.156	2.864	1.297	hard
exd	Homeodomain	HOXC10;PBX2;PAX6;POU3F1;PBX1;CDX2;IRX3;vnd	0.736	0.873	0.976	0.658	0.877	1.043	3.551	-1.302	hard
POU3F1	Homeodomain	exd;HOXC10;POU6F1;Scr;NKX6-3;PBX2;Pou5f1::Sox2;Abd-B	0.996	0.924	0.944	0.682	0.811	3.434	3.913	2.414	moderate
al	Homeodomain	LMX1A;VSX2;MNX1;ALX3;Ubx;LHX5;MEOX1;PHOX2B	1.0	0.994	1.0	0.967	0.992	0.38	0.507	0.233	hard
POU6F1	Homeodomain	Scr;HOXC10;Antp;NKX6-3;POU3F1;HNF1B;eve;HOXB4	0.999	0.949	0.994	0.893	0.988	0.567	0.986	0.599	hard
Pou5f1::Sox2	Homeodomain	POU5F1;POU2F1;POU3F1;DUX4;GBX1;MSX1;DLX5;HOXB13	0.992	0.861	0.994	0.789	0.994	0.691	0.86	0.399	hard
POU5F1	Homeodomain	Pou5f1::Sox2;POU2F1;POU3F1;GBX1;DUX4;MSX1;HOXB13;DLX5	0.974	0.87	0.994	0.824	0.994	0.12	0.426	0.064	hard
NKX2-5	Homeodomain	vnd;ISL1;TGIF1;PKNOX1;HOXC12;CUX2;POU1F1;PAX6	0.995	0.573	0.781	0.486	0.686	2.624	2.463	0.075	easy
NANOG	Homeodomain	POU2F1::SOX2;HOXC12;Antp;eve;MATALPHA2;CDX1;HOXB13;HOXA13	0.339	0.922	0.964	0.573	0.978	2.597	4.057	-1.018	hard
DLX5	Homeodomain	DLX6;en;MSX1;GBX1;DUX4;ESX1;LHX5;NKX6-2	1.0	0.988	0.998	0.949	1.0	-0.017	0.209	-0.23	hard
Antp	Homeodomain	eve;HOXB4;Ubx;Scr;HOXB5;NKX6-3;POU6F1;HNF1B	1.0	0.975	0.995	0.978	0.999	0.185	0.268	0.268	hard
HOXB13	Homeodomain	HOXA13;CUX2;CDX1;CDX2;NANOG;Abd-B;POU5F1;Pou5f1::Sox2	0.996	0.905	0.982	0.794	0.952	0.931	0.82	-0.392	hard
MEIS2	Homeodomain	PAX7;HOXA9;POU2F1;Abd-B;MEIS1;HOXC10;POU1F1;PAX6	0.997	0.929	0.995	0.868	0.992	2.106	1.535	1.878	hard
MEIS1	Homeodomain	PAX7;HOXA9;CDX2;Abd-B;MEIS2;POU2F1::SOX2;HOXC12;POU3F3	0.998	0.955	0.985	0.847	0.977	2.278	1.545	1.937	hard
CDX1	Homeodomain	HOXB13;Abd-B;NANOG;CDX2;HOXA13;HOXA9;MEIS2;Ubx	0.999	0.869	0.972	0.823	0.958	1.383	1.861	0.534	hard
PHO4	bHLH	MNT;MYC2;MLX;BHLHE40;ARNT2;MAX::MYC;ARNTL;MYC	0.998	0.997	0.999	0.973	0.998	0.389	0.294	0.108	hard
USF1	bHLH	MYC2;MNT;MLX;BHLHE40;ARNT2;MYC;ARNTL;TFEB	0.816	0.997	0.997	0.862	0.98	0.658	1.622	-0.769	hard
MAX::MYC	bHLH	MNT;MLX;MYC;ARNTL;MYC2;SREBF2;PHO4;EPAS1	0.993	0.997	0.999	0.931	0.996	1.718	1.483	1.031	hard
MAX	bHLH	MAX::MYC;ARNTL;EPAS1;TCFL5;SREBF2;MYC;MYC2;USF1	0.887	0.93	0.935	0.898	0.993	1.629	0.789	-0.492	moderate
Myod1	bHLH	TCF4;MYOD1;TWIST1;MYF6;ATOH7;TWIST2;ATOH1;TAL1::TCF3	0.989	0.964	0.994	0.844	0.997	0.51	0.853	0.154	hard
MYOD1	bHLH	TCF4;Myod1;TWIST1;MYF6;ATOH7;TWIST2;ATOH1;TAL1::TCF3	0.994	0.966	0.993	0.855	0.997	0.207	0.445	-0.336	hard
MYC	bHLH	ARNTL;SREBF2;MAX::MYC;HES5;MNT;BHLHE40;BHLHE41;MLX	0.998	0.998	0.999	0.959	0.998	0.188	0.521	0.099	hard
NEUROD1	bHLH	NEUROG2;NEUROD2;TWIST2;BHLHA15;ATOH1;HAND2;ATOH7;TAL1::TCF3	0.979	0.936	0.972	0.796	0.899	0.276	1.072	-0.952	hard
TAL1::TCF3	bHLH	ATOH7;TWIST2;FIGLA;TCF3;ATOH8;MYF6;TWIST1;ATOH1	0.748	0.957	0.985	0.847	0.971	0.963	2.259	-1.628	hard
TCF3	bHLH	ATOH8;FIGLA;MESP1;MGA;ATOH7;TAL1::TCF3;TWIST2;TFAP4	0.998	0.967	0.998	0.84	0.998	0.248	1.934	0.507	hard
MITF	bHLH	EPAS1;HES2;ARNTL;MYC;SREBF2;BHLHE40;MYC2;MLX	0.949	0.993	0.996	0.9	0.93	1.856	2.668	-0.083	hard
Mitf	bHLH	MITF;EPAS1;CLOCK;HES2;SREBF2;MXI1;BHLHE41;BHLHE40	0.979	0.978	0.985	0.92	0.964	1.057	1.482	-0.237	hard
ARNTL	bHLH	MYC;MAX::MYC;BHLHE40;MNT;HES5;MLX;BHLHE41;HES6	0.991	0.998	0.999	0.964	0.99	0.016	0.55	0.352	hard
CLOCK	bHLH	HES2;EPAS1;ARNT2;BHLHE40;MLX;MNT;MYC;ARNTL	0.967	0.994	0.996	0.974	0.983	0.746	0.417	-0.485	hard
MYC2	bHLH	SREBF1;PHO4;MAX::MYC;USF1;MNT;HES5;MDL-1;MLX	0.995	0.997	0.998	0.967	0.998	0.173	0.63	-0.076	hard
AHR	bHLH	HES1;ARNT;NPAS4;EPAS1;OLIG3;HIF1A;Mitf;HEY2	0.993	0.794	0.917	0.732	0.886	2.737	1.61	0.136	moderate
ARNT	bHLH	EPAS1;CLOCK;HES2;BHLHE40;ARNT2;ARNTL;MLX;MXI1	0.994	0.973	0.986	0.836	0.997	1.05	0.514	0.263	hard
TCF4	bHLH	Myod1;MYOD1;MYF6;TWIST1;ATOH1;TWIST2;ATOH7;TAL1::TCF3	0.792	0.966	0.994	0.719	0.857	1.006	2.483	-0.814	hard
NPAS2	bHLH	TFE3;Mitf;NPAS4;ARNT;CLOCK;HES2;SREBF2;MITF	0.702	0.935	0.951	0.652	0.802	1.619	2.152	-0.366	hard
BHLHE22	bHLH	USF2;TCF21;OLIG3;NEUROG1;ASCL1;MSGN1;MSC;TFAP4	0.707	0.965	0.982	0.754	0.99	0.766	0.724	-1.454	hard
HAND2	bHLH	NEUROG2;NEUROG1;NEUROD2;BHLHE22;NEUROD1;TCF21;OLIG3;MSC	0.682	0.907	0.938	0.604	0.749	1.353	2.607	-1.283	moderate
TCFL5	bHLH	SREBF2;MSC;TFEB;MYC;ARNTL;MYC2;MAX::MYC;MAX	0.632	0.938	0.947	0.702	0.847	2.029	3.475	-0.65	moderate
TFE3	bHLH	EPAS1;CLOCK;HES2;ARNT2;BHLHE40;MLX;SREBF2;MYC	0.713	0.978	0.98	0.927	0.978	1.628	1.144	-0.596	hard
TWIST2	bHLH	ATOH7;TAL1::TCF3;MYF6;ATOH1;NEUROD1;MYOD1;FIGLA;TCF4	0.776	0.961	0.987	0.742	0.959	0.377	2.209	-0.542	hard
MYCN	bHLH	OLIG1;TCF3;ATOH8;FIGLA;NHLH2;NHLH1;ATOH7;MESP1	0.555	0.739	0.906	0.64	0.786	2.475	1.84	-1.529	moderate
NEUROG2	bHLH	NEUROD1;HAND2;NEUROD2;NEUROG1;ATOH1;TWIST2;BHLHA15;MSGN1	0.722	0.921	0.972	0.843	0.997	0.32	0.347	-1.124	hard
ATOH1	bHLH	TWIST2;MYF6;TCF4;MYOD1;Myod1;ATOH7;NEUROD1;TWIST1	0.888	0.949	0.961	0.831	0.971	0.436	1.277	-1.033	hard
TFAP4	bHLH	SREBF1;USF1;TFEB;TFEC;MDL-1;ARNTL;MYC2;MYC	0.68	0.98	0.983	0.543	0.582	1.414	4.286	2.54	hard
NHLH2	bHLH	NHLH1;OLIG3;BHLHE22;NEUROG1;HAND2;MSGN1;ASCL1;NEUROD2	0.653	0.877	0.982	0.589	0.983	0.533	1.978	-0.877	hard
TFEB	bHLH	SREBF1;USF1;MYC2;MDL-1;MNT;SREBF2;MLX;MITF	0.898	0.993	0.997	0.873	0.98	1.898	1.457	-0.59	hard
FOS	bZIP	NFE2L1;JUND;BACH1;NFE2L2;JDP2;FOSL1;BATF;MAFG	0.993	0.99	0.994	0.858	0.998	0.893	1.202	0.197	hard
CREB1	bZIP	JUND;BATF;FOS;CEBPA;GCN4;FOSL2;NRL;TEF	0.637	0.738	0.787	0.636	0.976	4.582	3.726	-0.855	easy
FOS::JUN	bZIP	BATF;JDP2;BATF3;BACH1;FOS;NFE2L1;FOSB;ATF6	0.993	0.981	0.987	0.977	0.996	3.459	3.628	3.149	hard
CEBPB	bZIP	CEBPE;CEBPA;CEBPD;CEBPG;HLF;NFE2L2;DBP;TEF	0.996	0.785	0.987	0.772	1.0	0.739	0.167	0.063	hard
skn-1	bZIP	FOS::JUN;FOSB;Mafb;MAFF;BATF2;BACH2;MAFB;NRL	0.998	0.82	0.96	0.718	0.971	2.91	3.295	2.243	hard
ATF2	bZIP	XBP1;BATF3;CREB3L3;CREB3L4;FOSB;CREB1;JUNB;skn-1	0.68	0.697	0.719	0.737	0.886	3.724	2.121	-1.448	easy
GCN4	bZIP	MAFK;NFIL3;BATF2;BATF;CREB1;TEF;HLF;DBP	0.419	0.698	0.798	0.609	0.855	3.031	2.72	-0.886	easy
MAFB	bZIP	MAF;NFE2L1;MAFF;MAFG;NRL;MAFA;Mafb;BACH1	0.996	0.99	0.997	0.992	0.998	2.201	1.253	0.765	hard
MAFG	bZIP	MAFB;MAFF;FOS;MAFA;JUND;Mafb;MAF;NRL	0.991	0.979	0.995	0.953	0.995	0.586	0.406	-0.638	hard
Mafb	bZIP	MAFB;MAFG;MAF;MAFA;BATF3;BATF;MAFF;FOS	0.979	0.963	0.985	0.949	0.986	2.375	2.564	-0.237	hard
MAFA	bZIP	MAFB;MAFG;MAFF;FOS;Mafb;JUND;MAF;NRL	0.986	0.969	0.989	0.935	0.985	0.852	1.705	0.545	hard
JUN	bZIP	ATF6B;CREB3L4;CREB3;FOSB;CREB3L2;CREB3L1;CEBPA;FOS::JUN	0.607	0.728	0.811	0.66	0.991	3.558	1.761	0.233	easy
JUND	bZIP	NFE2L1;BACH1;NFE2L2;JDP2;FOSL1;BATF;FOS;MAFG	0.999	0.994	0.999	0.793	0.998	1.48	1.007	-1.088	hard
JDP2	bZIP	JUND;NFE2L2;FOS;BATF;FOS::JUN;NFE2;BACH1;FOSL1	0.628	0.971	0.997	0.68	0.984	0.886	2.651	-0.088	hard
