gene,family,dnalen_DeepPBS,dnalen_TFScope,iptm_DeepPBS,iptm_TFScope,rank_DeepPBS,rank_TFScope,d_iptm,d_len
AFT2,Other,14.0,13.5,0.805,0.753,0.81,0.775,-0.052,-0.5
ARF1,Other,14.0,10.0,0.77,0.745,0.795,0.775,-0.025,-4.0
BZR1,Other,14.0,14.0,0.315,0.275,0.405,0.37,-0.04,0.0
CEP3,Other,14.0,11.0,0.09,0.08,0.25,0.25,-0.01,-3.0
CLOCK,bHLH,14.0,11.0,0.84,0.8,1.02,1.0,-0.04,-3.0
CREB1,bZIP,14.0,14.0,0.725,0.815,1.0,1.155,0.09,0.0
DUX4,Homeodomain,14.0,11.833,0.542,0.775,0.625,0.815,0.233,-2.167
E2F4,Other,14.0,13.0,0.5,0.82,0.54,0.83,0.32,-1.0
GAL4,Other,14.0,14.0,0.53,0.61,0.64,0.69,0.08,0.0
GATA1,Other,14.0,10.0,0.83,0.89,0.9,0.95,0.06,-4.0
GATA3,Other,14.0,10.0,0.773,0.887,0.83,0.923,0.113,-4.0
GCN4,bZIP,14.0,12.0,0.755,0.665,0.92,0.945,-0.09,-2.0
Gata1,Other,14.0,10.0,0.82,0.89,0.89,0.95,0.07,-4.0
HNF4A,Nuclear_Receptor,14.0,14.0,0.575,0.93,0.63,0.913,0.355,0.0
MATALPHA2,Homeodomain,14.0,12.0,0.705,0.89,0.725,0.895,0.185,-2.0
MYB,Other,14.0,10.0,0.78,0.85,0.85,0.88,0.07,-4.0
Myb,Other,14.0,11.0,0.82,0.85,0.815,0.84,0.03,-3.0
NFYB,Other,14.0,10.0,0.76,0.82,0.87,0.93,0.06,-4.0
Nkx2-5,Homeodomain,14.0,9.0,0.88,0.95,0.93,0.99,0.07,-5.0
PAX5,Other,14.0,14.0,0.81,0.69,0.88,0.76,-0.12,0.0
PBX1,Homeodomain,14.0,9.667,0.737,0.833,0.783,0.86,0.097,-4.333
PPARG,Nuclear_Receptor,14.0,14.0,0.767,0.847,0.75,0.813,0.08,0.0
SMAD3,Other,14.0,12.75,0.842,0.855,0.867,0.875,0.012,-1.25
SPI1,ETS,14.0,13.0,0.93,0.94,0.93,0.94,0.01,-1.0
SRY,Other,14.0,9.0,0.58,0.92,0.62,0.91,0.34,-5.0
STAT6,Other,14.0,14.0,0.812,0.84,0.868,0.89,0.028,0.0
Spi1,ETS,14.0,13.0,0.92,0.93,0.92,0.93,0.01,-1.0
T,Other,14.0,13.0,0.92,0.94,0.93,0.94,0.02,-1.0
TAL1::TCF3,bHLH,14.0,12.0,0.865,0.82,1.015,0.98,-0.045,-2.0
TBX1,Other,14.0,13.0,0.87,0.96,0.88,0.96,0.09,-1.0
TBX21,Other,14.0,13.0,0.905,0.95,0.905,0.95,0.045,-1.0
TBX3,Other,14.0,13.0,0.93,0.96,0.93,0.96,0.03,-1.0
TBX5,Other,14.0,14.0,0.843,0.94,0.86,0.94,0.097,0.0
TBXT,Other,14.0,13.0,0.92,0.95,0.94,0.96,0.03,-1.0
Trl,C2H2_short,14.0,14.0,0.56,0.49,0.86,0.81,-0.07,0.0
USF1,bHLH,14.0,11.0,0.74,0.68,0.89,0.98,-0.06,-3.0
ZBTB7A,C2H2_medium,14.0,10.0,0.71,0.79,0.72,0.79,0.08,-4.0
ZFP57,C2H2_long,14.0,14.0,0.79,0.827,0.82,0.853,0.037,0.0
en,Homeodomain,14.0,12.0,0.78,0.58,0.77,0.59,-0.2,-2.0
exd,Homeodomain,14.0,10.0,0.87,0.9,0.895,0.92,0.03,-4.0
ttk,C2H2_short,14.0,13.5,0.605,0.665,0.615,0.68,0.06,-0.5
